Date,original_unique_impressions,original_conversion_rate,treatment_a_unique_impressions,treatment_a_conversion_rate,,,,,,,,,,
11/10/25,7,0.1824,9,0.2637,,,,,,,,,,
11/11/25,32,0.1222,50,0.1289,,,,,,,,,,
11/12/25,46,0.0984,40,0.0916,,,,,,,,,,
11/13/25,35,0.0919,47,0.0979,,,,,,,,,,
11/14/25,31,0.088,51,0.0962,,,,,,,,,,
11/15/25,59,0.1049,31,0.0985,,,,,,,,,,
11/16/25,43,0.1039,52,0.1007,,,,,,,,,,
11/17/25,37,0.107,47,0.1024,,,,,,,,,,
11/18/25,49,0.1078,45,0.1125,,,,,,,,,,
11/19/25,50,0.1101,39,0.1158,,,,,,,,,,
11/20/25,46,0.114,37,0.1224,,,,,,,,,,
11/21/25,34,0.1131,35,0.1245,,,,,,,,,,
11/22/25,45,0.1187,38,0.1237,,,,,,,,,,
11/23/25,50,0.1181,32,0.121,,,,,,,,,,
11/24/25,30,0.1188,47,0.1215,,,,,,,,,,
11/25/25,54,0.117,46,0.1203,,,,,,,,,,
11/26/25,29,0.1147,42,0.1174,,,,,,,,,,
11/27/25,33,0.1167,35,0.1226,,,,,,,,,,
11/28/25,33,0.117,30,0.1229,,,,,,,,,,
11/29/25,41,0.1169,41,0.1265,,,,,,,,,,
11/30/25,46,0.1195,37,0.1255,,,,,,,,,,
12/1/25,40,0.1213,39,0.123,,,,,,,,,,
12/2/25,32,0.124,36,0.1243,,,,,,,,,,
12/3/25,35,0.1269,35,0.1271,,,,,,,,,,
12/4/25,35,0.1239,40,0.1254,,,,,,,,,,
12/5/25,34,0.1227,42,0.1242,,,,,,,,,,
12/6/25,36,0.1221,35,0.125,,,,,,,,,,
12/7/25,49,0.1218,45,0.1275,,,,,,,,,,
12/8/25,37,0.1213,45,0.1268,,,,,,,,,,
12/9/25,32,0.1196,28,0.1248,,,,,,,,,,
12/10/25,31,0.1176,35,0.1233,,,,,,,,,,
12/11/25,23,0.1188,35,0.1229,,,,,,,,,,
12/12/25,24,0.118,28,0.1219,,,,,,,,,,
12/13/25,23,0.119,33,0.1227,,,,,,,,,,
12/14/25,38,0.1192,19,0.1241,,,,,,,,,,
12/15/25,33,0.1203,28,0.1242,,,,,,,,,,
12/16/25,26,0.1219,41,0.1261,,,,,,,,,,
12/17/25,43,0.1215,36,0.1266,,,,,,,,,,
12/18/25,35,0.1212,36,0.1271,,,,,,,,,,
12/19/25,27,0.121,40,0.1256,,,,,,,,,,
12/20/25,42,0.1205,41,0.1253,,,,,,,,,,
12/21/25,30,0.1219,39,0.1262,,,,,,,,,,
12/22/25,30,0.1198,26,0.1246,,,,,,,,,,
12/23/25,27,0.1193,36,0.1234,,,,,,,,,,
12/24/25,30,0.1187,26,0.1235,,,,,,,,,,
12/25/25,40,0.1208,24,0.1234,,,,,,,,,,
12/26/25,28,0.12,47,0.1235,,,,,,,,,,
12/27/25,43,0.1181,33,0.1213,,,,,,,,,,
12/28/25,32,0.1173,41,0.1211,,,,,,,,,,
12/29/25,47,0.1171,41,0.121,,,,,,,,,,
12/30/25,26,0.1166,40,0.1224,,,,,,,,,,
12/31/25,37,0.1165,30,0.1216,,,,,,,,,,
1/1/26,41,0.1169,41,0.1214,,,,,,,,,,
1/2/26,33,0.1182,44,0.122,,,,,,,,,,
1/3/26,38,0.1164,34,0.1228,,,,,,,,,,
1/4/26,36,0.116,47,0.1209,,,,,,,,,,
1/5/26,28,0.1173,32,0.122,,,,,,,,,,
1/6/26,38,0.1171,26,0.1227,,,,,,,,,,
1/7/26,25,0.1177,36,0.1225,,,,,,,,,,
1/8/26,43,0.1166,21,0.1228,,,,,,,,,,
1/9/26,36,0.1162,41,0.1209,,,,,,,,,,
1/10/26,45,0.1169,37,0.1213,,,,,,,,,,
1/11/26,40,0.1153,35,0.121,,,,,,,,,,
1/12/26,38,0.1158,27,0.1204,,,,,,,,,,
1/13/26,36,0.1153,37,0.1198,,,,,,,,,,
1/14/26,36,0.1147,23,0.1199,,,,,,,,,,
1/15/26,37,0.115,38,0.1194,,,,,,,,,,
1/16/26,22,0.1153,43,0.1204,,,,,,,,,,
1/17/26,35,0.1163,40,0.1203,,,,,,,,,,
1/18/26,39,0.1165,32,0.1204,,,,,,,,,,
1/19/26,33,0.1164,29,0.1207,,,,,,,,,,
1/20/26,45,0.1171,42,0.1214,,,,,,,,,,
1/21/26,27,0.1166,30,0.1215,,,,,,,,,,
1/22/26,35,0.117,32,0.1219,,,,,,,,,,
1/23/26,39,0.1178,25,0.1217,,,,,,,,,,
